Questions,Reference Answers,Correct? Y/N/ NF,"Y = yes, N = no, NF = not found",,"In this task, you have to verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. If you don't find it on Wikipedia, you may use any news source or basic google search."
Who is the head coach of the team Armenia national football team currently?,Oleksandr Petrakov,Y,,,
Who is the head coach of the team Antalyaspor currently?,Nuri Sahin,N,,,
Who is the head coach of the team Torino F.C. currently?,Ivan Juric,Y,,,
Who is the head coach of the team KV Mechelen currently?,Danny Buijs,Y,,,
Who is the head coach of the team FC BATE Borisov currently?,Igor Kriushenko,Y,,,
Who is the head coach of the team Aalesunds FK currently?,Lars Arne Nilsen,N,,,
Who is the head coach of the team FK Mlada Boleslav currently?,David Holoubek,Y,,,
Who is the head coach of the team Clube Atletico Mineiro currently?,Luiz Felipe Scolari,N,,,
Who is the head coach of the team Arminia Bielefeld currently?,Daniel Scherning,N,,,
Who is the head coach of the team R. Charleroi S.C. currently?,Edward Still,N,,,
Who is the head coach of the team SC Freiburg currently?,Christian Streich,Y,,,
Who is the head coach of the team Lyngby Boldklub currently?,Freyr Alexandersson,N,,,
Who is the head coach of the team FC Dinamo Bucharest currently?,Zeljko Kopic,Y,,,
Who is the head coach of the team Alashkert FC currently?,Karen Barseghyan,N,,,
Who is the head coach of the team U.S. Salernitana 1919 currently?,Fabio Liverani,N,,,
Who is the head coach of the team FK RFS currently?,Viktors Morozs,Y,,,
Who is the head coach of the team Louisville City FC currently?,John Hackworth,N,,,
Who is the head coach of the team SCM Gloria Buzau currently?,Andrei Prepelita,N,,,
Who is the head coach of the team FC Dynamo Brest currently?,Aleksandr Brazevich,Y,,,
Who is the head coach of the team UTA Arad currently?,Ilie Poenaru,N,,,
Who is the head coach of the team FK Tuzla City currently?,Dragan Jovic,N,,,
Who is the head coach of the team A.C. Perugia Calcio currently?,Fabrizio Castori,N,,,
Who is the head coach of the team FK Shkendija currently?,Artim Sakiri,N,,,
Who is the head coach of the team VfB Stuttgart currently?,Sebastian Hoeness,Y,,,
Who is the head coach of the team Pittsburgh Riverhounds SC currently?,Bob Lilley,Y,,,
Who is the head coach of the team FC Dynamo Kyiv currently?,Oleksandr Shovkovskyi,Y,,,
Who is the head coach of the team Associazione Calcio Milan currently?,Stefano Pioli,Y,,,
Who is the head coach of the team St Patrick's Athletic F.C. currently?,Jon Daly,Y,,,
Who is the head coach of the team Lille OSC currently?,Paulo Fonseca,Y,,,
Who is the head coach of the team FK Rabotnicki currently?,Ljupco Markovski,N,,,
Who is the head coach of the team FC Inter Milan currently?,Simone Inzaghi,Y,,,
Who is the head coach of the team FC Dinamo Moscow currently?,Marcel Licka,Y,,,
Who is the head coach of the team FC Krumkachy Minsk currently?,Syarhey Kazeka,Y,,,
Who is the head coach of the team AFC Ajax currently?,John van 't Schip,Y,,,
Who is the head coach of the team Morocco national football team currently?,Walid Regragui,Y,,,
Who is the head coach of the team FC Girondins de Bordeaux currently?,Albert Riera,Y,,,
