,Questions,Reference Answers,Annotation,"Y = yes, N = no, NF = not found",question_keys
0,Who is the head of the government of Ludwigshafen currently?,Jutta Steinruck,Y,,Who is the head of the government of Ludwigshafen currently?
1,Who is the head of the government of Bavaria currently?,Markus Soder,Y,,Who is the head of the government of Bavaria currently?
2,Who is the head of the government of Tehran currently?,Alireza Zakani,Y,,Who is the head of the government of Tehran currently?
3,Who is the head of the government of Bruiu currently?,Emil Gherghel,Y,,Who is the head of the government of Bruiu currently?
4,Who is the head of the government of Fellbach currently?,Gabriele Zull,Y,,Who is the head of the government of Fellbach currently?
5,Who is the head of the government of Sector 2 currently?,Radu Mihaiu,Y,,Who is the head of the government of Sector 2 currently?
6,Who is the head of the government of Australia currently?,Anthony Albanese,Y,,Who is the head of the government of Australia currently?
7,Who is the head of the government of Yamagata Prefecture currently?,Mieko Yoshimura,Y,,Who is the head of the government of Yamagata Prefecture currently?
8,Who is the head of the government of Calabria currently?,Roberto Occhiuto,Y,,Who is the head of the government of Calabria currently?
9,Who is the head of the government of Donetsk People's Republic currently?,Denis Pushilin,Y,,Who is the head of the government of Donetsk People's Republic currently?
10,Who is the head of the government of Bacau currently?,Lucian-Daniel Stanciu-Viziteu,Y,,Who is the head of the government of Bacau currently?
11,Who is the head of the government of Bicske currently?,Andrea Balint,Y,,Who is the head of the government of Bicske currently?
12,Who is the head of the government of Fresnicourt-le-Dolmen currently?,Dany Clairet,Y,,Who is the head of the government of Fresnicourt-le-Dolmen currently?
13,Who is the head of the government of Community of Valencia currently?,Carlos Mazon Guixot,Y,,Who is the head of the government of Community of Valencia currently?
14,Who is the head of the government of Benevento Province currently?,Antonio Di Maria,Y,,Who is the head of the government of Benevento Province currently?
15,Who is the head of the government of Reunion currently?,Huguette Bello,Y,,Who is the head of the government of Reunion currently?
16,Who is the head of the government of Icusesti currently?,Marius-Vasile Minica,Y,,Who is the head of the government of Icusesti currently?
17,Who is the head of the government of Amfroipret currently?,Philippe Eustache,Y,,Who is the head of the government of Amfroipret currently?
18,Who is the head of the government of City of Brussels currently?,Philippe Close,Y,,Who is the head of the government of City of Brussels currently?
20,Who is the head of the government of Communaute urbaine de Dunkerque currently?,Patrice Vergriete,Y,,Who is the head of the government of Communaute urbaine de Dunkerque currently?
21,Who is the head of the government of Austria currently?,Karl Nehammer,Y,,Who is the head of the government of Austria currently?
22,Who is the head of the government of Cetariu currently?,Ferenc-Sandor Biro,Y,,Who is the head of the government of Cetariu currently?
23,Who is the head of the government of Emerchicourt currently?,Regis Roussel,Y,,Who is the head of the government of Emerchicourt currently?
24,Who is the head of the government of Okinawa Prefecture currently?,Denny Tamaki,Y,,Who is the head of the government of Okinawa Prefecture currently?
25,Who is the head of the government of Saarland currently?,Anke Rehlinger,Y,,Who is the head of the government of Saarland currently?
26,Who is the head of the government of Aurskog-Holand currently?,Gudbrand Kvaal,Y,,Who is the head of the government of Aurskog-Holand currently?
