Questions,Reference Answers,Correct? Y/N/ NF,"Y = yes, N = no, NF = not found"
Who is the head of the government of Ludwigshafen currently?,Jutta Steinruck,Y,
Who is the head of the government of Bavaria currently?,Markus Soder,Y,
Who is the head of the government of Tehran currently?,Alireza Zakani,Y,
Who is the head of the government of Bruiu currently?,Emil Gherghel,Y,
Who is the head of the government of Fellbach currently?,Gabriele Zull,Y,
Who is the head of the government of Sector 2 currently?,Radu Mihaiu,Y,
Who is the head of the government of Australia currently?,Anthony Albanese,Y,
Who is the head of the government of Yamagata Prefecture currently?,Mieko Yoshimura,Y,
Who is the head of the government of Calabria currently?,Roberto Occhiuto,Y,
Who is the head of the government of Donetsk People's Republic currently?,Denis Pushilin,Y,
Who is the head of the government of Bacau currently?,Lucian-Daniel Stanciu-Viziteu,Y,
Who is the head of the government of Bicske currently?,Andrea Balint,Y,
Who is the head of the government of Fresnicourt-le-Dolmen currently?,Dany Clairet,Y,
Who is the head of the government of Community of Valencia currently?,Carlos Mazon Guixot,Y,
Who is the head of the government of Benevento Province currently?,Antonio Di Maria,Y,
Who is the head of the government of Reunion currently?,Huguette Bello,Y,
Who is the head of the government of Icusesti currently?,Marius-Vasile Minica,Y,
Who is the head of the government of Amfroipret currently?,Philippe Eustache,Y,
Who is the head of the government of City of Brussels currently?,Philippe Close,Y,
Who is the head of the government of Rio Grande do Sul currently?,Ranolfo Vieira Junior,N,Eduardo Leite
Who is the head of the government of Communaute urbaine de Dunkerque currently?,Patrice Vergriete,Y,
Who is the head of the government of Austria currently?,Karl Nehammer,Y,
Who is the head of the government of Cetariu currently?,Ferenc-Sandor Biro,Y,
Who is the head of the government of Emerchicourt currently?,Regis Roussel,Y,
Who is the head of the government of Okinawa Prefecture currently?,Denny Tamaki,Y,
Who is the head of the government of Saarland currently?,Anke Rehlinger,Y,
Who is the head of the government of Aurskog-Holand currently?,Gudbrand Kvaal,Y,
Who is the head of the government of Haiti currently?,Claude Joseph,Y,
Who is the head of the government of Oituz currently?,Claudiu Petrisor,Y,
Who is the head of the government of Otaru currently?,Toshiya Hazama,Y,
Who is the head of the government of Johannesburg currently?,Mpho Phalatse,Y,
Who is the head of the government of Poissy currently?,Sandrine Dos Santos,Y,
Who is the head of the government of Horgesti currently?,Luminita-Adriana Temea,Y,
Who is the head of the government of Leliceni currently?,Istvan-Alfred Nagy,Y,
Who is the head of the government of Ostend currently?,Bart Tommelein,Y,
Who is the head of the government of Hordain currently?,Arnaud Bavay,Y,
Who is the head of the government of Salfit Governorate currently?,Abdullah Kmail,Y,
Who is the head of the government of Fredericia Municipality currently?,Steen Wrist,Y,
Who is the head of the government of Viborg Municipality currently?,Ulrik Wilbek,Y,
Who is the head of the government of Izhevsk currently?,Oleg Nikolaevich Bekmemetiev,Y,
Who is the head of the government of Skopje currently?,Danela Arsovska,Y,
Who is the head of the government of Colleret currently?,Claude Menissez,Y,
Who is the head of the government of Beius currently?,Gabriel-Catalin Popa,Y,
Who is the head of the government of Livorno currently?,Luca Salvetti,Y,
Who is the head of the government of Dresden currently?,Dirk Hilbert,Y,
Who is the head of the government of Gauteng currently?,David Makhura,Y,
Who is the head of the government of Flakstad currently?,Trond Kroken,Y,
Who is the head of the government of Gera currently?,Julian Vonarb,Y,
Who is the head of the government of Kharkiv Oblast currently?,Oleh Synyehubov,Y,
Who is the head of the government of Mouchin currently?,Christian Devaux,Y,
Who was the previous head of the government of Trebic?,Pavel Janata,Y,
Who was the previous head of the government of Saint-Saulve?,Cecile Gallez,Y,
Who was the previous head of the government of Enschede?,Theo Bovens,Y,
Who was the previous head of the government of Russelsheim am Main?,Patrick Burghardt,Y,
Who was the previous head of the government of la Garrotxa?,Joan Espona Agustin,Y,
Who was the previous head of the government of Alaquas?,Elvira Garcia Campos,Y,
Who was the previous head of the government of Dordrecht?,Peter van der Velden,Y,
