Questions,Reference Answers,Annotation,Added the right names if they were wrong or additional names if they were missed out or any added comments. ,"In this task, you have verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. 
Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. 
If you don't find it on Wikipedia, you may use any news source or basic google search."
Who is the head of the state of Ukraine currently?,Volodymyr Zelenskyy,Y,,
Who is the head of the state of Greece currently?,Katerina Sakellaropoulou,Y,,
Who is the head of the state of Israel currently?,Israel Herzog,Y,Isaac Herzog,
Who is the head of the state of Estonia currently?,Alar Karis,Y,,
Who is the head of the state of Chile currently?,Gabriel Boric,Y,,
Who is the head of the state of Indonesia currently?,Joko Widodo,Y,,
Who is the head of the state of Croatia currently?,Zoran Milanovic,Y,,
Who is the head of the state of Portugal currently?,Marcelo Rebelo de Sousa,Y,,
Who is the head of the state of Sarawak currently?,Abdul Taib Mahmud,N,Abang Abdul Rahman Zohari Abang Openg,
Who is the head of the state of Guyana currently?,Irfaan Ali,Y,,
Who is the head of the state of Haiti currently?,Ariel Henry,N,Fritz Bélizaire,
Who is the head of the state of North Korea currently?,Kim Jong-un,Y,,
Who is the head of the state of Kyrgyzstan currently?,Sadyr Zhaparov,Y,,
Who is the head of the state of Slovenia currently?,Natasa Pirc Musar,Y,,
Who is the head of the state of Ethiopia currently?,Sahle-Work Zewde,Y,,
Who is the head of the state of Sudan currently?,Abdel Fattah al-Burhan,N,,
Who is the head of the state of Georgia currently?,Salome Zourabichvili,Y,,
Who is the head of the state of Lithuania currently?,Gitanas Nauseda,Y,,
Who is the head of the state of Taiwan currently?,Tsai Ing-wen,Y,,
Who is the head of the state of Kosovo currently?,Vjosa Osmani,Y,,
Who is the head of the state of Dominican Republic currently?,Luis Abinader,Y,,
Who is the head of the state of Republic of Artsakh currently?,"Samvel Shahramanyan, Arayik Harutyunyan",Y,,
Who is the head of the state of Austria currently?,Alexander Van der Bellen,Y,,
Who is the head of the state of Slovakia currently?,Zuzana Caputova,Y,,
Who is the head of the state of Gabon currently?,Ali Bongo Ondimba,N,Brice Oligui,
Who is the head of the government of Saint-Saulve currently?,Yves Dusart,Y,,
Who is the head of the government of Enschede currently?,Roelof Bleker,Y,,
Who is the head of the government of Russelsheim am Main currently?,Udo Bausch,Y,,
Who is the head of the government of la Garrotxa currently?,Santi Reixach Garriga,Y,,
Who is the head of the government of Alaquas currently?,Antonio Saura Martin,Y,,
Who is the head of the government of Dordrecht currently?,Wouter Kolff,Y,,
Who is the head of the government of Moldova currently?,Dorin Recean,Y,Prime Minister is Dorin Recean & President is Maia Sandu,
Who is the head of the government of Saudi Arabia currently?,Salman bin Abdulaziz Al Saud,Y,King of Saudi Arabia is Salman bin Abdulaziz Al Saud & Mohammed bin Salman Al Saud  is the ruler,
Who is the head of the government of Pennsylvania currently?,Josh Shapiro,Y,,
Who is the head of the government of Douai currently?,Frederic Chereau,Y,,
Who is the head of the government of Gentofte Municipality currently?,Michael Fenger,Y,,
Who is the head of the government of Frederiksberg Municipality currently?,Michael Vindfeldt,Y,,
Who is the head of the government of Wilmington currently?,Mike Purzycki,Y,,
Who is the head of the government of India currently?,Narendra Modi,Y,,
Who is the head of the government of Catalonia currently?,Pere Aragones,Y,,
Who is the head of the government of Sighisoara currently?,Ioan-Iulian Sirbu,Y,,
Who is the head of the government of Rennes currently?,Nathalie Appere,Y,,
Who is the head of the government of Slovenia currently?,Robert Golob,Y,,
Who is the head of the government of Aniche currently?,Xavier Bartoszek,Y,,
Who is the head of the government of Bourges currently?,Yann Galut,Y,,
Who is the head of the government of Minsk currently?,Uladzimir Kukharau,N,Alexander Lukashenko,
Who is the head of the government of Amstelveen currently?,Tjapko Poppens,Y,,
Who is the head of the government of Ouder-Amstel currently?,Joyce Langenacker,Y,,
Who is the head of the government of Grodersby currently?,Helmut Andresen,Y,,
Who is the head of the government of Kristiansand currently?,Mathias Bernander,Y,,
Who is the head of the government of Leudelange currently?,Diane Feipel,NF,,
Who is the head of the government of Berlin currently?,Kai Wegner,Y,,
Who is the head of the government of Vadso currently?,Wenche Pedersen,Y,,
Who is the head of the government of Bujoru currently?,Ginel Sorin Avram,NF,,
