,Questions,Reference Answers,Annotation,Added the right names if they were wrong or additional names if they were missed out or any added comments. ,"In this task, you have verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. 
Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. 
If you don't find it on Wikipedia, you may use any news source or basic google search.",question_keys
0,Who is the head of the state of Ukraine currently?,Volodymyr Zelenskyy,Y,,,Who is the head of the state of Ukraine currently?
1,Who is the head of the state of Greece currently?,Katerina Sakellaropoulou,Y,,,Who is the head of the state of Greece currently?
2,Who is the head of the state of Israel currently?,Israel Herzog,Y,Isaac Herzog,,Who is the head of the state of Israel currently?
3,Who is the head of the state of Estonia currently?,Alar Karis,Y,,,Who is the head of the state of Estonia currently?
4,Who is the head of the state of Chile currently?,Gabriel Boric,Y,,,Who is the head of the state of Chile currently?
5,Who is the head of the state of Indonesia currently?,Joko Widodo,Y,,,Who is the head of the state of Indonesia currently?
6,Who is the head of the state of Croatia currently?,Zoran Milanovic,Y,,,Who is the head of the state of Croatia currently?
7,Who is the head of the state of Portugal currently?,Marcelo Rebelo de Sousa,Y,,,Who is the head of the state of Portugal currently?
9,Who is the head of the state of Guyana currently?,Irfaan Ali,Y,,,Who is the head of the state of Guyana currently?
11,Who is the head of the state of North Korea currently?,Kim Jong-un,Y,,,Who is the head of the state of North Korea currently?
12,Who is the head of the state of Kyrgyzstan currently?,Sadyr Zhaparov,Y,,,Who is the head of the state of Kyrgyzstan currently?
13,Who is the head of the state of Slovenia currently?,Natasa Pirc Musar,Y,,,Who is the head of the state of Slovenia currently?
14,Who is the head of the state of Ethiopia currently?,Sahle-Work Zewde,Y,,,Who is the head of the state of Ethiopia currently?
16,Who is the head of the state of Georgia currently?,Salome Zourabichvili,Y,,,Who is the head of the state of Georgia currently?
17,Who is the head of the state of Lithuania currently?,Gitanas Nauseda,Y,,,Who is the head of the state of Lithuania currently?
18,Who is the head of the state of Taiwan currently?,Tsai Ing-wen,Y,,,Who is the head of the state of Taiwan currently?
19,Who is the head of the state of Kosovo currently?,Vjosa Osmani,Y,,,Who is the head of the state of Kosovo currently?
20,Who is the head of the state of Dominican Republic currently?,Luis Abinader,Y,,,Who is the head of the state of Dominican Republic currently?
21,Who is the head of the state of Republic of Artsakh currently?,"Samvel Shahramanyan, Arayik Harutyunyan",Y,,,Who is the head of the state of Republic of Artsakh currently?
22,Who is the head of the state of Austria currently?,Alexander Van der Bellen,Y,,,Who is the head of the state of Austria currently?
23,Who is the head of the state of Slovakia currently?,Zuzana Caputova,Y,,,Who is the head of the state of Slovakia currently?
25,Who is the head of the government of Saint-Saulve currently?,Yves Dusart,Y,,,Who is the head of the government of Saint-Saulve currently?
26,Who is the head of the government of Enschede currently?,Roelof Bleker,Y,,,Who is the head of the government of Enschede currently?
