,Questions,Reference Answers,Annotation,"Y = yes, N = no, NF = not found",Unnamed: 4,"In this task, you have to verify if the reference answers are correct with respect to the current world knowledge. If your answer matches atleast one of the reference answers, then it is correct. Please use Wikipedia (infoboxes contain most answers) primarily for finding the answers. If you don't find it on Wikipedia, you may use any news source or basic google search.",question_keys
0,Who is the head coach of the team Armenia national football team currently?,Oleksandr Petrakov,Y,,,,Who is the head coach of the team Armenia national football team currently?
2,Who is the head coach of the team Torino F.C. currently?,Ivan Juric,Y,,,,Who is the head coach of the team Torino F.C. currently?
3,Who is the head coach of the team KV Mechelen currently?,Danny Buijs,Y,,,,Who is the head coach of the team KV Mechelen currently?
4,Who is the head coach of the team FC BATE Borisov currently?,Igor Kriushenko,Y,,,,Who is the head coach of the team FC BATE Borisov currently?
6,Who is the head coach of the team FK Mlada Boleslav currently?,David Holoubek,Y,,,,Who is the head coach of the team FK Mladá Boleslav currently?
10,Who is the head coach of the team SC Freiburg currently?,Christian Streich,Y,,,,Who is the head coach of the team SC Freiburg currently?
12,Who is the head coach of the team FC Dinamo Bucharest currently?,Zeljko Kopic,Y,,,,Who is the head coach of the team FC Dinamo Bucharest currently?
15,Who is the head coach of the team FK RFS currently?,Viktors Morozs,Y,,,,Who is the head coach of the team FK RFS currently?
18,Who is the head coach of the team FC Dynamo Brest currently?,Aleksandr Brazevich,Y,,,,Who is the head coach of the team FC Dynamo Brest currently?
23,Who is the head coach of the team VfB Stuttgart currently?,Sebastian Hoeness,Y,,,,Who is the head coach of the team VfB Stuttgart currently?
24,Who is the head coach of the team Pittsburgh Riverhounds SC currently?,Bob Lilley,Y,,,,Who is the head coach of the team Pittsburgh Riverhounds SC currently?
25,Who is the head coach of the team FC Dynamo Kyiv currently?,Oleksandr Shovkovskyi,Y,,,,Who is the head coach of the team FC Dynamo Kyiv currently?
26,Who is the head coach of the team Associazione Calcio Milan currently?,Stefano Pioli,Y,,,,Who is the head coach of the team Associazione Calcio Milan currently?
27,Who is the head coach of the team St Patrick's Athletic F.C. currently?,Jon Daly,Y,,,,Who is the head coach of the team St Patrick's Athletic F.C. currently?
28,Who is the head coach of the team Lille OSC currently?,Paulo Fonseca,Y,,,,Who is the head coach of the team Lille OSC currently?
30,Who is the head coach of the team FC Inter Milan currently?,Simone Inzaghi,Y,,,,Who is the head coach of the team FC Inter Milan currently?
31,Who is the head coach of the team FC Dinamo Moscow currently?,Marcel Licka,Y,,,,Who is the head coach of the team FC Dinamo Moscow currently?
32,Who is the head coach of the team FC Krumkachy Minsk currently?,Syarhey Kazeka,Y,,,,Who is the head coach of the team FC Krumkachy Minsk currently?
33,Who is the head coach of the team AFC Ajax currently?,John van 't Schip,Y,,,,Who is the head coach of the team AFC Ajax currently?
34,Who is the head coach of the team Morocco national football team currently?,Walid Regragui,Y,,,,Who is the head coach of the team Morocco national football team currently?
35,Who is the head coach of the team FC Girondins de Bordeaux currently?,Albert Riera,Y,,,,Who is the head coach of the team FC Girondins de Bordeaux currently?
37,Who is the head coach of the team Chelsea F.C. currently?,Mauricio Pochettino,Y,,,,Who is the head coach of the team Chelsea F.C. currently?
38,Who is the head coach of the team FC Banik Ostrava currently?,Pavel Hapal,Y,,,,Who is the head coach of the team FC Baník Ostrava currently?
44,Who is the head coach of the team FK Nevezis currently?,Darius Gvildys,Y,,,,Who is the head coach of the team FK Nevėžis currently?
